evidence_id	edge_id	source_kind	source_locator	support_kind	species_support	source_species_detail	source_scope	assay_or_perturbation	relation_type	pathway_or_branch	confidence_tier	citation_note	evidence_summary	limitations
M24A-B001-EVID-001	M24A-E001	primary_research_paper	PMID:41390852; PMCID:PMC12717188	identity_and_function	mouse	T10 forceps-clamp SCI; scRNA-seq, lesion and BMDM assays	foam-cell lipid/debris and synaptic compartment	clodronate macrophage depletion; bazedoxifene; anti-C1q antibody; C1q staining; VGLUT2/PSD95 engulfment assays	increases	foam-cell lipid accumulation to C1q-associated synaptic engulfment	high	Peng et al.; primary SCI lipid-complement mechanism	Foam-cell lipid accumulation increased C1q and pathological synaptic engulfment; lipid lowering and C1q blockade preserved synapses and improved motor recovery.	C1q receptor was not isolated; C1q cellular source requires cell-specific validation; bazedoxifene target specificity unresolved.
M24A-B001-EVID-002	M24A-E002	primary_research_paper	PMID:41660680; PMCID:PMC12884443	sensor_engagement_and_function	mouse	Female mouse T10 crush SCI; myelin-debris and macrophage/microglia compartments	debris-sensor and phagocytic repair context	TREM2 knockout; COG1410 short- versus long-term activation; debris uptake, PI3K/AKT, DAM, BMS and footprint assays	engages_and_modulates	myelin debris-TREM2-PI3K/AKT-DAM relay	medium-high	Wu et al.; primary SCI debris-sensor study	TREM2 loss impaired myelin-debris engulfment/degradation and PI3K/AKT-linked DAM activation; activation was beneficial early but harmful when prolonged.	No purified debris-TREM2 binding assay; timing is bidirectional and chronic activation increased fibrosis/inflammation.
M24A-B001-EVID-003	M24A-E003	primary_research_paper	PMID:34993473; PMCID:PMC8728726; DOI:10.1093/braincomms/fcab271	protease_adjacent_function	human; mouse; rat	Human SCI CSF; mouse dorsal-column lesion; rat optic-nerve crush	coagulation-linked extracellular histone danger context	western blot; neurite/growth-cone assays; activated protein C in vitro/in vivo	proteolytic_neutralization_context	activated protein C protease activity to histone-H3 neurite-inhibition rescue	medium-high	Siddiq et al.; primary histone-DAMP study	Extracellular histone H3 inhibited neurite growth through TLR2/YB-1-associated signaling and activated protein C reversed the inhibitory effect in comparator systems.	APC benefit was not shown through PAR1; coagulation cascade was not measured; optic-nerve rescue is not direct traumatic-SCI treatment.
M24A-B001-EVID-004	M24A-E004	primary_research_paper	PMID:20304963; PMCID:PMC2861100	receptor_and_function	mouse	Mouse traumatic SCI; BLT1 knockout versus wild type; leukocyte and neuronal co-culture contexts	lipid mediator receptor and neutrophil recruitment	BLT1 knockout; histology/MPO; sorted leukocyte gene expression; neuronal co-culture; recovery assays	ligand-receptor_activation	LTB4-BLT1-neutrophil recruitment and secondary injury	high	Saiwai et al.; LTB4-BLT1 axis study	The LTB4-BLT1 axis amplified neutrophil recruitment and secondary injury after SCI; BLT1 loss altered inflammatory and recovery-associated outcomes.	Neutrophils also contribute to repair; BLT1 is an amplification factor rather than the sole recruitment route.
M24A-B001-EVID-005	M24A-E005	primary_research_paper	PMID:18059327; PMCID:PMC2241786	pharmacologic_pathway_function	mouse	Male CD1 mice; T6-T7 clip-compression SCI	lipid mediator and cysteinyl-leukotriene receptor context	zileuton 50 mg/kg; montelukast 5 mg/kg; PGE2/LTB4 assays; MPO, ERK/TNF/COX-2, apoptosis and locomotor assays	pharmacologic_pathway_modulation	5-LO products/LTB4/PGE2 to CysLT1-linked inflammatory injury	medium-high	Genovese et al.; 5-LO/leukotriene pharmacology after SCI	Zileuton and montelukast reduced lipid mediator-associated inflammation, neutrophil activity, tissue injury, and locomotor deficits.	Pharmacology does not isolate all 5-LO metabolites or prove an endogenous ligand-receptor edge; early mouse model only.
M24A-B001-EVID-006	M24A-E006	primary_research_paper	PMID:32964315; DOI:10.1007/s12035-020-02118-7	functional_output	mouse	Mouse SCI; intrathecal RvD3 with RAW264.7 and hCMEC/D3 mechanistic assays	pro-resolving lipid mediator context	intrathecal resolvin D3; inflammatory cytokine and neuroprotection assays	functional_output	RvD3-associated inflammatory resolution and neuroprotection	medium	Kim et al.; resolvin D3 SCI study	RvD3 promoted inflammatory resolution and neuroprotection after SCI.	Receptor-level assignment was not established in the local extraction; downstream function cannot be promoted to a direct receptor edge.
M24A-B001-EVID-007	M24A-E007	primary_research_paper	PMID:37446149; PMCID:PMC10341423	functional_output	rat	Rat SCI; RvD1 plus peripheral-nerve-derived stem-cell spheroids	pro-resolving lipid mediator and regenerative co-therapy	RvD1 co-administration; cytokine assays; qRT-PCR; IHC; behavior	functional_output	RvD1-associated anti-inflammatory and regenerative function	medium	Jeong et al.; RvD1 co-therapy study	RvD1 co-administration reduced inflammatory signals and supported regenerative outcomes in a combination treatment context.	Effect cannot be assigned to RvD1 alone; no receptor or proximal-relay dissection.
M24A-B001-EVID-008	M24A-E008	primary_research_paper	PMID:15258577; DOI:10.1038/nm1082	receptor_pharmacology	rat	Rat impact SCI; peritraumatic neurons and tissue	ATP-P2X7R purinergic injury context	ATP exposure; OxATP or PPADS; electrophysiology and cell-death observations	ligand-receptor_activation	ATP-P2X7R calcium-overload and excitotoxicity	medium	Wang et al.; primary P2X7R SCI pharmacology	Sustained extracellular ATP and P2X7R antagonism were associated with calcium overload, neuronal death, histological injury, and functional deficits.	Abstract-level local extraction; PPADS is not P2X7-specific and direct receptor selectivity is bounded.
M24A-B001-EVID-009	M24A-E009	primary_research_paper	PMCID:PMC2718350	pharmacologic_receptor_function	rat	Rat thoracic weight-drop SCI; microglia, astrocytes, neutrophils and lesion tissue	P2X7R inflammatory receptor context	systemic Brilliant Blue G 15 min after injury; histology and motor behavior	pharmacologic_pathway_modulation	P2X7R blockade to microglial/gliotic inflammation and recovery	medium-high	Systemic P2X7 antagonist study; species corrected from the Module18A row	Brilliant Blue G reduced microglial/astrocyte activation, neutrophil infiltration, tissue loss, and motor deficits after traumatic SCI.	Species discrepancy in the local Module18A row; Brilliant Blue G has multiple cellular targets and is not cell-specific.
M24A-B001-EVID-010	M24A-E010	primary_research_paper	PMID:42002569; PMCID:PMC13221473; DOI:10.1038/s41419-026-08596-2	receptor_epistasis	mouse	Mouse T10 contusion; microglia-neuron/astrocyte cultures and ex vivo slices	P2Y12R ATP-to-adenosine repair relay	P2Y12R restoration with P2Y-TK-Nano; ATP/adenosine assays; P2Y12R, CD39/CD73, A1R and mitophagy blockade; behavior	ligand_receptor_and_pathway_epistasis	P2Y12R to CD39/CD73-adenosine-A1R to PINK1/Parkin/LC3 mitophagy	high	Tian et al.; primary P2Y12R dual-targeting study	P2Y12R restoration increased CD39/CD73-mediated ATP-to-adenosine conversion and neuronal mitophagy; blockade attenuated protection and treatment improved lesion, axon/myelin, and locomotor outcomes.	Nanoparticle targeting, cargo, ROS responsiveness, and receptor restoration confound attribution; direct ATP-P2Y12 binding is not claimed.
