edge_id	source_entity	relation_type	target_entity	pathway_name	effect_polarity	directionality	upstream_feature_context	receptor_or_adhesion_context	cell_type_context	compartment_context	species_context	injury_context	evidence_layer	evidence_status	context_scope	confidence_tier	export_priority	curator_decision
M23A-E001	collagen-I-associated scar-forming astrocyte state	modulates	beta1-integrin/N-cadherin adhesion relay	integrin-cadherin astrocyte scar recruitment	modulating	directed	collagen-I-associated astrocyte state	beta1-integrin and N-cadherin blockade context	scar-forming and host astrocytes	astrocytic scar border	mouse	T9 contusion SCI	receptor_proximal_relay	reviewed_first_pass	SCI plus in-vitro astrocyte context	medium-high	P1	RETAIN_AS_RECEPTOR_PROXIMAL_NOT_DIRECT_BINDING
M23A-E002	substrate stiffness	modulates	beta1-integrin/ILK-associated astrocyte response	integrin-ILK mechanosensing	modulating	directed	200-versus-2000-Pa substrate stiffness	beta1-integrin/ILK readout	primary mouse and hESC-derived human astrocytes	astrocyte culture substrate	mouse; human comparator	chronic SCI stiffness comparator	receptor_proximal_relay	reviewed_first_pass	stiffness-controlled astrocyte culture and SCI tissue	medium-high	P1	RETAIN_AS_MECHANOTRANSDUCTION_NOT_DIRECT_BINDING
M23A-E003	chronic lesion stiffness	associated_with	fibronectin/GFAP scar architecture	chronic SCI scar mechanics	modulating	directed	chronic lesion core/rim stiffness	no unique receptor assigned	lesion tissue and astrocytic border	lesion core/rim	mouse	T11 contusion SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	chronic lesion architecture	medium	P2	RETAIN_AS_FUNCTIONAL_CONTEXT_ONLY
M23A-E004	fibronectin EDA matrix assembly	modulates	fibrotic scar and locomotor phenotype	fibronectin-EDA chronic fibrotic scar	modulating	directed	FnEDA-positive matrix	no receptor assigned	lesion tissue, fibrotic scar, axon-associated regions	extracellular matrix and lesion	mouse	T11 contusion SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	FnEDA-null genetic comparison	medium-high	P1	RETAIN_AS_FUNCTIONAL_OUTPUT_NOT_RECEPTOR_EDGE
M23A-E005	ECM/GAG composition	associated_with	chronic scar softening and cavitation	chronic hemisection scar mechanics	modulating	directed	GAG/HA and CNS-cell composition	no receptor assigned	chronic lesion/cavity tissue	extracellular matrix and lesion	rat	T10 lateral hemisection	downstream_pathway_or_cellular_function	reviewed_first_pass	chronic rat hemisection mechanics	medium	P2	RETAIN_AS_MECHANICS_CONTEXT_ONLY
M23A-E006	activated alpha9 integrin plus kindlin-1	promotes	sensory axon regeneration through matrix bridges	integrin-activated sensory regeneration	promoting	directed	laminin-111/tenascin-C-positive connective bridges	alpha9 integrin activation with kindlin-1	sensory DRG neurons and regenerating axons	lesion bridge and axon compartment	rat	C4/T10 dorsal-column crush	downstream_pathway_or_cellular_function	reviewed_first_pass	intervention and sensory function	medium-high	P1	RETAIN_AS_FUNCTIONAL_OUTPUT_WITH_MATRIX_CONTEXT
M23A-E007	GlcNAc6ST1/4-dependent glycan sulfation	modulates	ECM/myeloid recruitment and repair program	glycan-sulfation SCI matrix program	modulating	directed	fibronectin/collagen ECM and sulfated N-glycans	no receptor assigned	myeloid cells and injured cord	lesion ECM and immune compartment	mouse	T10 contusion SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	constitutive double-KO and tissue-level program	medium-high	P2	RETAIN_AS_FUNCTIONAL_OUTPUT_NOT_RECEPTOR_EDGE
M23A-E008	PECAM1	binds	alphaVbeta3 integrin	PECAM1-alphaVbeta3 adhesion	increasing	directed	PECAM1 heterophilic adhesion	alphaVbeta3 complex; ITGB3 alone incomplete	leukocyte and endothelial adhesion cells	cell surface	mixed mammalian	adhesion models	ligand_receptor_binding	reviewed_batch002	recombinant PECAM1 and integrin blockade	 high molecular; low SCI relevance	P3	RETAIN_AS_NON_SCI_DIRECT_BINDING_ANCHOR
M23A-E009	Plau	binds	alphaMbeta2 integrin	uPA-alphaMbeta2 plasminogen activation	increasing	directed	uPA and plasminogen activation	alphaMbeta2 complex; ITGAM alone incomplete	neutrophils	cell surface	human	binding and activity models	ligand_receptor_binding	reviewed_batch002	SPR and purified alphaMbeta2	 high molecular; low neural relevance	P3	RETAIN_AS_NON_SCI_DIRECT_BINDING_ANCHOR
M23A-E010	Postn	modulates	alphaVbeta3-FAK/Akt macrophage migration relay	POSTN-integrin scar relay	modulating	directed	POSTN in pericyte and lesion matrix	alphaVbeta3 context	pericytes and infiltrating monocytes/macrophages	lesion matrix and cell surface	mouse	contusive SCI	receptor_proximal_relay	reviewed_batch002	Postn knockout, recombinant POSTN, blockade, migration assays	medium	P1	RETAIN_AS_RECEPTOR_PROXIMAL_NOT_DIRECT_BINDING
