case_id	queue_id	family_name	target_scope	evidence_layer	resolution_status	search_boundary	stable_sources	context_and_limitation	follow_up
M21A-UNRES-001	M21A-Q001	IL6/LIF/OSM/CNTF-gp130	CNTFR-specific receptor-complex signaling	ligand_receptor_binding_or_activation	resolved_bounded	PubMed and publisher searches for CNTF, CNTFRa, gp130, LIFR, OSMR, STAT3, and receptor-reconstituted cells	PMID:38569939	CNTFRa-gp130-LIFR and CNTFRa-gp130-OSMR STAT3 competence is supported in reconstituted cells; this record is relay evidence and does not modify Module 20A LR classifications.	Reconcile receptor-complex node identity with Module 20A and retain both CNTFR complex configurations.
M21A-UNRES-002	M21A-Q001	IL6/LIF/OSM/CNTF-gp130	SCI astrocyte-specific CNTFR subunit and kinase perturbation	intracellular_relay	partially_resolved	PubMed, PMC, and publisher searches for CNTF/CNTFRa plus spinal cord injury, astrocytes, gp130, and JAK/STAT; targeted second-pass search for lesion-associated CNTFR-alpha	PMID:11771938; PMID:18615534; PMID:15342787; PMID:8075814	CNTFR-alpha localization to astrocytes at a lesioned CNS glial scar and functional CNTF receptor signaling in cultured astrocytes are now supported, but no primary study isolates CNTFRa-gp130-LIFR versus CNTFRa-gp130-OSMR with receptor-proximal kinase perturbation in injured contusive-SCI astrocytes.	Keep comparator relay edges medium priority and do not assign SCI receiver weights.
M21A-UNRES-003	M21A-Q002	IFN-alpha/beta/gamma	IFN-lambda astrocyte receptor-proximal IRF/STAT branch in SCI	intracellular_relay	partially_resolved	PubMed, PMC, and publisher searches for IFN-lambda, IFNLR1, astrocytes, IRF/STAT, CNS, and SCI	PMID:20878770; PMID:22057682; PMID:37725008	Human astrocyte pathway/function and synthetic receptor kinase evidence are available, but no bounded primary study establishes an injured-SCI astrocyte IFNLR1-to-JAK/STAT branch with cell-specific perturbation.	Keep IFN-lambda as a separate type-III branch and retain astrocyte SCI weighting as unresolved.
M21A-UNRES-004	M21A-Q003	TNF	TNFR2 astrocyte death-versus-survival branch after contusive SCI	intracellular_relay	partially_resolved	PubMed, PMC, and publisher searches for TNFR2, astrocytes, SCI, TRAF2, NF-kappaB, apoptosis, and repair; targeted second-pass search for TNFR2 cellular localization after contusion SCI	PMID:22933014; PMID:30941924; PMID:11517251; PMCID:PMC9220050	TNFR2 molecular branches and CNS glial/SCI functional evidence are supported, and TNFR2 co-localization with GFAP-positive astrocytes is reported after contusive SCI; no astrocyte-specific contusion-SCI perturbation resolves the death-versus-survival relay.	Do not transfer TNFR2 astrocyte demyelination branch weights directly to contusion SCI.
M21A-UNRES-005	M21A-Q004	IL-1	IL1R2 decoy function in SCI astrocytes	ligand_receptor_binding_or_activation	partially_resolved	PubMed, PMC, and publisher searches for IL1R2, IL1RAP, astrocytes, spinal cord injury, and IL1R1	PMID:9862719; PMID:10880245; PMCID:PMC9527244	IL1R2 decoy-complex/shedding mechanisms and IL1R1-dependent SCI astrocyte injury outputs are supported separately; direct IL1R2 astrocyte SCI evidence was not found in the bounded search.	Keep IL1R2 as an inhibitory decoy boundary and do not merge it with the IL1R1-MyD88 relay.
M21A-UNRES-006	M21A-Q005	Chemokine GPCR	CCL/CCR ligand-biased branches in SCI receiver cells	intracellular_relay	resolved_bounded	PubMed searches for matched human CCR/CXCR ligand, G-protein, beta-arrestin, splice-variant, and ERK assays; SCI-specific receiver searches	PMID:33921794; PMID:28559424	CCR4/CCR7 and CXCR3A/B branch distinctions are supported in engineered human receptor systems, but direct SCI receiver-state weighting is absent.	Export as comparator relay only; do not generalize assay-specific bias across chemokine receptor families.
M21A-UNRES-007	M21A-Q006	BMP/TGF-beta	Noncanonical TGF/BMP branches in SCI astrocytes	intracellular_relay	partially_resolved	PubMed and PMC searches for TGFBR/BMPR, TRAF6, TAK1, JNK/p38, LIMK1, astrocytes, spinal cord, and SCI	PMID:18922473; PMID:19361494; PMID:17696121; PMID:20427645	Primary noncanonical TGF/BMP edges and CNS glial canonical/functional outputs are supported, but direct noncanonical branch perturbation in contusion-SCI astrocytes was not established.	Preserve direct, pathway, and functional layers; keep SCI branch weights unresolved.
M21A-UNRES-008	M21A-Q007	EGF/FGF/PDGF/VEGF RTKs	PDGFR ERK/SRC and FGF/VEGFR cell-type-specific SCI receiver branches	intracellular_relay	partially_resolved	PubMed, PMC, and publisher searches for PDGFR, FGFR, VEGFR, SRC, ERK, astrocytes, OPCs, spinal cord injury, and cell-type-specific perturbation; targeted second-pass search for FGF10/FGFR2, PDGFR-beta, and VEGF-EGFR transactivation	PMID:16129124; PMID:18512152; PMID:32066583; PMCID:PMC5682656; PMCID:PMC9013464; PMCID:PMC6488895	FGFR2/PI3K-AKT, PDGFR-beta fibrotic-scar, and VEGF-EGFR neural-stem-cell branches are now supported in SCI models, but FGFR astrocyte branch identity and VEGFR paralog-specific receiver signaling remain unresolved.	Do not use the neuronal/microglial or fibrotic-scar branches to assign astrocyte-specific FGFR/VEGFR weights without matched receptor/cell-state evidence.
M21A-UNRES-009	M21A-Q008	WNT	Noncanonical WNT branch and SCI glial-state specificity	intracellular_relay	partially_resolved	PubMed and PMC searches for WNT5A, ROR2, RYK, JNK, PCP, calcium, astrocytes, oligodendrocytes, spinal cord injury, and demyelination; targeted second-pass search for astrocyte-specific RYK signaling	PMID:27550808; PMID:33311637; PMID:33939286; PMCID:PMC12012454	Astrocytic RYK control of SCI scar-border formation and wound healing is now supported, but the study measured canonical WNT changes and proposed rather than tested the noncanonical PCP branch.	Keep WNT5A/ROR2 and RYK pathway/function edges separate from canonical FZD-LRP6-beta-catenin edges and do not assign a noncanonical glial branch weight.
M21A-UNRES-010	M21A-Q009	Notch	Notch ligand/paralog-specific branch in SCI glial states	intracellular_relay	partially_resolved	PubMed, PMC, and publisher searches for JAG1, DLL1, DLL4, NOTCH1-4, HES/HEY, astrocytes, and SCI; targeted second-pass search for astrocytic DLL4-NOTCH1 and Notch1/3/4 inhibition after SCI	PMID:22452482; PMID:26124113; PMID:23839946; PMID:20602435; PMCID:PMC11468415; PMCID:PMC4396101	Jagged1-dependent SCI functional evidence, NOTCH1 ligand-strength comparisons, and a DLL4-NOTCH1-IL6-STAT3 reactive-astrocyte comparator branch are supported. Comprehensive NOTCH2/3/4 glial-state branch resolution in contusive SCI remains open, and nonspecific Notch inhibition is not promoted to paralog-specific evidence.	Retain JAG1-NOTCH1, DLL4-NOTCH1, and DLL4-versus-DLL1 branches as context-specific; do not generalize to all Notch paralogs.
M21A-UNRES-011	M21A-Q002	IFN-alpha/beta/gamma	IFN-beta/IFNAR1 direct kinase relay in injured SCI astrocytes	intracellular_relay	partially_resolved	PubMed and PMC searches for IFN-beta, IFNAR1, astrocytes, JAK1, TYK2, STAT1/2, spinal cord injury, and cell-specific perturbation	PMCID:PMC13366903; PMID:42217185	Astrocyte-specific Ifnar1 loss establishes a focal-SCI repair function for type-I interferon signaling, but the study does not isolate JAK1/TYK2/STAT events in injured astrocytes.	Retain E113 as downstream pathway/function evidence and do not promote it to a direct receptor-proximal kinase edge without matched biochemical or phospho-perturbation data.
