context_id	context_name	context_kind	disease_context	anatomical_context	species	injury_model	injury_level	injury_severity	sex	timepoint_value	timepoint_unit	perturbation	treatment	experimental_condition	study_perturbation_status	injury_distance	injury_distance_unit	sample_scope	sample_count	cell_type	sample_id	study_id	tissue	context_status	provenance_note
sci_scope	Spinal cord injury evidence scope	ontology_scope	spinal_cord_injury	spinal_cord																				defined	Scope-level context only; study/sample observations are listed separately.
sci:protein:11929fde1f974fa2	FLOW_MSCS_ITDB_000010 protein context at unknown (unknown)	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion			unknown	not_reported	Zeb2os perturbation	not_reported	Zeb2os perturbation			mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	unknown	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010_UNSPECIFIED_TIMEPOINT;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:130f68a290c3d0f3	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Zeb2os knockdown versus control AAV endpoint	Zeb2os perturbation	Moderate contusive SCI; Zeb2os knockdown versus control AAV endpoint	Zeb2os perturbation			mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	lesion/astrocyte scar tissue	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_SPLIT_PSTAT3_IF_17D;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:49f45c6180e7f56d	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Control; AAV-transduced region; distance C1200	Zeb2os perturbation	Moderate contusive SCI; Control; AAV-transduced region; distance C1200	Zeb2os perturbation	1200	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	C1200 relative to lesion epicenter (1200 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__C1200;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:3d3a92511e7ef660	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Control; AAV-transduced region; distance C400	Zeb2os perturbation	Moderate contusive SCI; Control; AAV-transduced region; distance C400	Zeb2os perturbation	400	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	C400 relative to lesion epicenter (400 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__C400;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:5792ff6952f668ac	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Control; AAV-transduced region; distance C800	Zeb2os perturbation	Moderate contusive SCI; Control; AAV-transduced region; distance C800	Zeb2os perturbation	800	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	C800 relative to lesion epicenter (800 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__C800;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:faf9f579b3cf6217	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Control; AAV-transduced region; distance Epi	Zeb2os perturbation	Moderate contusive SCI; Control; AAV-transduced region; distance Epi	Zeb2os perturbation	0	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	Epi relative to lesion epicenter (0 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__Epi;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:08267bc80fb9ba7c	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Control; AAV-transduced region; distance R1200	Zeb2os perturbation	Moderate contusive SCI; Control; AAV-transduced region; distance R1200	Zeb2os perturbation	-1200	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	R1200 relative to lesion epicenter (-1200 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__R1200;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:2db3cc82c0cf010f	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Control; AAV-transduced region; distance R400	Zeb2os perturbation	Moderate contusive SCI; Control; AAV-transduced region; distance R400	Zeb2os perturbation	-400	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	R400 relative to lesion epicenter (-400 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__R400;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:28199ef491ebab92	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Control; AAV-transduced region; distance R800	Zeb2os perturbation	Moderate contusive SCI; Control; AAV-transduced region; distance R800	Zeb2os perturbation	-800	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	R800 relative to lesion epicenter (-800 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__CONTROL__R800;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
